id,date,source,title,excerpt,url,text,symbol,date_source,date_missing_reason,vader_score,vader_label,finbert_label
251683,2026-03-02 15:15:23,LBO,"HIP Expands RoRo Capacity with New Yard, Strengthening Position on East–West Trade Lane","Hambantota International Port (HIP) has commissioned a new six-hectare Roll-on/Roll-off (RoRo) yard as part of Stage I of Phase II of its RoRo yard expansion programme, marking a significant step in the port’s long-term automotive transhipment strategy. The newly completed yard increases vehicle parking capacity to 4,500 units per terminal space, easing pressure on existing […]",https://www.lankabusinessonline.com/2026/03/02/hip-expands-roro-capacity-with-new-yard-strengthening-position-on-east-west-trade-lane/,"HIP Expands RoRo Capacity with New Yard, Strengthening Position on East–West Trade Lane Hambantota International Port (HIP) has commissioned a new six-hectare Roll-on/Roll-off (RoRo) yard as part of Stage I of Phase II of its RoRo yard expansion programme, marking a significant step in the port’s long-term automotive transhipment strategy. The newly completed yard increases vehicle parking capacity to 4,500 units per terminal space, easing pressure on existing […]",,,,0.6369,positive,
251681,2026-03-02 15:05:29,LBO,Fitch Publishes ‘AAA(lka)’ Rating on Hayleys’ Proposed Debentures,"Fitch Ratings has published the National Long-Term Rating of ‘AAA(lka)’ assigned to Hayleys PLC’s proposed unsecured senior redeemable debentures of up to LKR7 billion. The debentures are rated in line with Hayleys’ National Long-Term Rating and existing unsecured notes. This is because subordination risk to debenture holders from debt at subsidiaries is limited, provided the […]",https://www.lankabusinessonline.com/2026/03/02/fitch-publishes-aaalka-rating-on-hayleys-proposed-debentures/,"Fitch Publishes ‘AAA(lka)’ Rating on Hayleys’ Proposed Debentures Fitch Ratings has published the National Long-Term Rating of ‘AAA(lka)’ assigned to Hayleys PLC’s proposed unsecured senior redeemable debentures of up to LKR7 billion. The debentures are rated in line with Hayleys’ National Long-Term Rating and existing unsecured notes. This is because subordination risk to debenture holders from debt at subsidiaries is limited, provided the […]",,,,-0.8658,negative,
251674,2026-02-27 07:09:59,LBO,Sri Lanka apparel exports ease in January while UK market remains stable,"Sri Lanka’s apparel exports declined by 2.66% year-on-year in January 2026, falling to US$ 425.44 million from US$ 437.07 million in January 2025, reflecting continued pressure across key export markets. Exports to the US fell by 2.73% to US$ 165.11 million, while exports to the EU (excluding the UK) declined by 1.93% to US$ 126.99 […]",https://www.lankabusinessonline.com/2026/02/27/sri-lanka-apparel-exports-ease-in-january-while-uk-market-remains-stable/,"Sri Lanka apparel exports ease in January while UK market remains stable Sri Lanka’s apparel exports declined by 2.66% year-on-year in January 2026, falling to US$ 425.44 million from US$ 437.07 million in January 2025, reflecting continued pressure across key export markets. Exports to the US fell by 2.73% to US$ 165.11 million, while exports to the EU (excluding the UK) declined by 1.93% to US$ 126.99 […]",,,,0.2263,positive,
251583,2026-02-26 06:46:16,LBO,US ETR Falls to 9.4% as Blanket 10% Tariff Replaces IEEPA Levies: Fitch Ratings,"The 10% blanket reciprocal tariff imposed by the U.S. on most trading partners lowers the U.S. effective tariff rate (ETR) to 9.4% from 12.7%, Fitch Ratings says. If the Trump administration imposes a 15% levy, the U.S. ETR would rise to 11.3%. President Trump acted swiftly to reinstate tariffs following the U.S. Supreme Court’s ruling […]",https://www.lankabusinessonline.com/2026/02/26/us-etr-falls-to-9-4-as-blanket-10-tariff-replaces-ieepa-levies-fitch-ratings/,"US ETR Falls to 9.4% as Blanket 10% Tariff Replaces IEEPA Levies: Fitch Ratings The 10% blanket reciprocal tariff imposed by the U.S. on most trading partners lowers the U.S. effective tariff rate (ETR) to 9.4% from 12.7%, Fitch Ratings says. If the Trump administration imposes a 15% levy, the U.S. ETR would rise to 11.3%. President Trump acted swiftly to reinstate tariffs following the U.S. Supreme Court’s ruling […]",,,,0.7533,positive,
251580,2026-02-26 06:38:57,LBO,AIDAdiva Makes Maiden Call at Hambantota International Port,"Hambantota International Port (HIP) welcomed the cruise vessel AIDAdiva on 12 February 2026, marking the ship’s first call at the southern port and the second visit by AIDA Cruises to Hambantota. The 251.89-metre, Italian-flagged vessel, built in 2007 and registered in Genoa, arrived from Thailand carrying approximately 2,000 passengers and 620 crew. The majority of […]",https://www.lankabusinessonline.com/2026/02/26/aidadiva-makes-maiden-call-at-hambantota-international-port/,"AIDAdiva Makes Maiden Call at Hambantota International Port Hambantota International Port (HIP) welcomed the cruise vessel AIDAdiva on 12 February 2026, marking the ship’s first call at the southern port and the second visit by AIDA Cruises to Hambantota. The 251.89-metre, Italian-flagged vessel, built in 2007 and registered in Genoa, arrived from Thailand carrying approximately 2,000 passengers and 620 crew. The majority of […]",,,,0.34,positive,
251068,2026-02-17 17:16:20,LBO,Pan Asia Bank’s Overall Assets Soar over Rs. 300Bn & achieve PAT of Rs.4Bn for Second Consecutive Year,"Financial Performance – As Reported  Underlying Financial Performance Highlights – Normalized for prior-year sovereign debt exchange-related extraordinary gain Balance Sheet Growth Operational Efficiency Credit Quality Capital and Liquidity Position Pan Asia Banking Corporation PLC reported a strong financial performance for 2025, marking a year in which the Bank reinforced its position among Sri Lanka’s steadily […]",https://www.lankabusinessonline.com/2026/02/17/pan-asia-banks-overall-assets-soar-over-rs-300bn-achieve-pat-of-rs-4bn-for-second-consecutive-year/,"Pan Asia Bank’s Overall Assets Soar over Rs. 300Bn & achieve PAT of Rs.4Bn for Second Consecutive Year Financial Performance – As Reported  Underlying Financial Performance Highlights – Normalized for prior-year sovereign debt exchange-related extraordinary gain Balance Sheet Growth Operational Efficiency Credit Quality Capital and Liquidity Position Pan Asia Banking Corporation PLC reported a strong financial performance for 2025, marking a year in which the Bank reinforced its position among Sri Lanka’s steadily […]",,,,0.9118,positive,
251067,2026-02-12 12:33:51,LBO,MSME Recovery in Post-Ditwah Sri Lanka: Turning Geographic Data into Action,"Chaya Dissanayake (Research Officer, IPS), Dr Asanka Wijesinghe (Research Fellow, IPS), Dilani Hirimuthugodage (Research Economist, IPS) The recent cyclonic storm Ditwah disrupted micro, small, and medium enterprises (MSMEs) islandwide, caused by production disruptions, infrastructure damage (including roads and mobile networks), supply-chain interruptions, and reduced access to markets. Rapid responses were necessary for the MSME sector […]",https://www.lankabusinessonline.com/2026/02/12/msme-recovery-in-post-ditwah-sri-lanka-turning-geographic-data-into-action/,"MSME Recovery in Post-Ditwah Sri Lanka: Turning Geographic Data into Action Chaya Dissanayake (Research Officer, IPS), Dr Asanka Wijesinghe (Research Fellow, IPS), Dilani Hirimuthugodage (Research Economist, IPS) The recent cyclonic storm Ditwah disrupted micro, small, and medium enterprises (MSMEs) islandwide, caused by production disruptions, infrastructure damage (including roads and mobile networks), supply-chain interruptions, and reduced access to markets. Rapid responses were necessary for the MSME sector […]",,,,-0.8074,negative,
251066,2026-02-09 17:03:05,LBO,Cinnamon Life and John Keells Foundation present La Bamba – The song of Veracruz,"Cinnamon Life, in collaboration with John Keells Foundation (JKF) and in association with Nations Trust Bank (NTB), announced the stagingof the West End–licensed musical La Bamba! The Song of Veracruz at a press conference held on 5 February 2026 at Cinnamon Life, City of Dreams, Colombo. The musical theatre production will be performed at Cinnamon […]",https://www.lankabusinessonline.com/2026/02/09/cinnamon-life-and-john-keells-foundation-present-la-bamba-the-song-of-veracruz/,"Cinnamon Life and John Keells Foundation present La Bamba – The song of Veracruz Cinnamon Life, in collaboration with John Keells Foundation (JKF) and in association with Nations Trust Bank (NTB), announced the stagingof the West End–licensed musical La Bamba! The Song of Veracruz at a press conference held on 5 February 2026 at Cinnamon Life, City of Dreams, Colombo. The musical theatre production will be performed at Cinnamon […]",,,,0.7424,positive,
251065,2026-02-09 16:52:37,LBO,ADB appoints Shannon Cowlin as new country director for Sri Lanka,"The Asian Development Bank (ADB) has appointed Shannon Cowlin as its new Country Director for Sri Lanka. She has assumed office in Colombo today. “I am honored to be appointed Country Director of ADB’s Sri Lanka Resident Mission,” Ms. Cowlin said. “For many years, ADB has been a trusted partner of Sri Lanka, supporting the […]",https://www.lankabusinessonline.com/2026/02/09/adb-appoints-shannon-cowlin-as-new-country-director-for-sri-lanka/,"ADB appoints Shannon Cowlin as new country director for Sri Lanka The Asian Development Bank (ADB) has appointed Shannon Cowlin as its new Country Director for Sri Lanka. She has assumed office in Colombo today. “I am honored to be appointed Country Director of ADB’s Sri Lanka Resident Mission,” Ms. Cowlin said. “For many years, ADB has been a trusted partner of Sri Lanka, supporting the […]",,,,0.8689,positive,
251064,2026-02-09 10:53:03,LBO,"HIP Welcomes Over 2,000 Thai Cruise Passengers, Signalling a New Growth Market for Sri Lanka","2,100 Thai cruise passengers arrived at Hambantota International Port (HIP) this week aboard the MV Celebrity Millennium. The call points to the emergence of Thailand as a promising new market for Sri Lanka’s cruise tourism. The Malta-flagged Celebrity Millennium, operated by Celebrity Cruises, arrived from Phuket on 2 February 2026 with 2,171 passengers and 969 […]",https://www.lankabusinessonline.com/2026/02/09/hip-welcomes-over-2000-thai-cruise-passengers-signalling-a-new-growth-market-for-sri-lanka/,"HIP Welcomes Over 2,000 Thai Cruise Passengers, Signalling a New Growth Market for Sri Lanka 2,100 Thai cruise passengers arrived at Hambantota International Port (HIP) this week aboard the MV Celebrity Millennium. The call points to the emergence of Thailand as a promising new market for Sri Lanka’s cruise tourism. The Malta-flagged Celebrity Millennium, operated by Celebrity Cruises, arrived from Phuket on 2 February 2026 with 2,171 passengers and 969 […]",,,,0.7964,positive,
